2019-10-04,2019-10-11,2019-10-18,2019-10-25,2019-11-01,2019-11-08,2019-11-15,2019-11-22,2019-11-29,2019-12-06,2019-12-13,2019-12-20,2019-12-27,2020-01-03,2020-01-10,2020-01-17,2020-01-24,2020-01-31,2020-02-07,2020-02-14,2020-02-21,2020-02-28,2020-03-06,2020-03-13,Difference
583.9255555555557,586.5222222222222,597.7588888888889,606.0088888888889,610.1433333333332,595.2555555555557,586.6322222222223,588.1277777777779,599.86,596.7177777777778,610.2822222222222,618.4266666666667,630.01,627.6266666666667,623.4233333333335,621.7355555555555,607.8866666666667,597.0355555555556,614.1033333333332,629.6355555555556,621.1711111111111,561.2255555555557,554.7255555555555,508.0788888888889,75.84666666666668
43.11333333333334,43.300000000000004,43.843333333333334,44.75666666666667,44.67666666666667,45.32333333333333,46.04,46.18333333333334,46.4,47.35666666666666,47.74,48.696666666666665,48.72,48.02666666666667,47.300000000000004,48.09666666666667,47.78,46.89333333333334,46.93666666666667,46.19333333333333,45.916666666666664,41.04666666666666,43.849999999999994,41.330000000000005,1.7833333333333339
20.87,20.403333333333336,20.72,21.08666666666667,21.379999999999995,21.683333333333334,21.590000000000003,20.74,20.213333333333335,19.426666666666666,20.363333333333333,21.706666666666667,22.94333333333333,22.87,24.91,24.363333333333333,22.493333333333336,21.063333333333333,21.733333333333334,21.38,21.273333333333333,18.313333333333336,17.71666666666667,13.056666666666667,7.813333333333333
117.3709375,117.874375,119.21968749999998,121.005,123.33875,126.45374999999999,127.121875,126.646875,128.18375,128.47687500000004,129.15375000000003,129.963125,129.59687499999998,129.90875000000003,130.41,133.86250000000004,133.30125,132.41312499999998,137.343125,139.79687500000003,138.52,118.713125,116.071875,102.55062499999998,14.8203125
121.530625,122.65625000000001,126.126875,132.03875,137.385,138.17125,140.07437499999997,142.21187499999996,143.58937500000002,143.870625,143.63875000000002,146.47625000000002,147.123125,145.041875,148.285625,148.343125,144.525,138.301875,145.25375,148.789375,147.8575,132.204375,136.69125,130.0025,-8.471874999999997
109.86272727272727,111.50318181818183,110.24318181818181,113.19,113.85272727272728,115.78363636363638,117.28545454545453,116.25999999999998,116.7690909090909,115.77227272727272,114.36090909090908,115.03545454545453,115.59545454545456,115.92818181818183,113.79545454545455,114.4,112.65090909090912,108.08272727272728,110.93181818181819,112.84000000000002,110.31818181818184,96.3409090909091,94.96909090909092,79.11363636363636,30.74909090909091
267.6994117647059,268.88588235294117,271.3882352941177,273.9664705882353,277.0605882352941,284.585294117647,290.4594117647059,286.16499999999996,290.74588235294107,294.7370588235294,297.62999999999994,300.6570588235295,301.90852941176473,302.9535294117647,312.59205882352944,321.9270588235294,321.23823529411766,313.0317647058823,323.9058823529412,332.0629411764707,324.78852941176467,290.5335294117647,284.25705882352935,265.71058823529415,1.9888235294117627
116.0725,118.045,118.2525,118.89000000000001,118.95250000000001,125.08250000000001,126.185,124.3725,124.53500000000001,122.505,122.67500000000001,125.615,125.95,122.71249999999999,124.72,130.465,131.685,130.60250000000002,136.405,140.25,139.55249999999998,121.6025,127.295,111.07249999999999,4.999999999999993
138.73833333333332,138.345,140.05333333333334,138.90166666666667,139.77333333333334,136.005,139.14666666666668,137.79833333333332,140.04833333333332,140.07833333333335,137.025,140.35333333333332,141.36666666666667,141.245,140.77666666666667,144.28833333333333,146.385,144.79,147.59666666666666,154.11666666666667,151.16833333333332,135.36499999999998,141.90166666666667,131.56333333333333,7.175000000000002
37.51,37.58,38.47,36.91,38.95,39.38,39.5,37.75,37.38,38.2,38.26,39.15,39.24,39.06,38.57,38.38,38.5,37.62,38.45,38.25,38.55,35.22,37.03,34.47,3.039999999999999
66.425,65.06416666666667,65.195,65.26166666666667,65.54333333333334,62.879999999999995,63.538333333333334,63.75000000000001,63.86333333333334,64.51666666666667,64.00916666666667,65.94666666666667,65.78,65.135,65.91,68.91,70.68333333333332,71.36166666666666,70.82333333333332,72.95333333333333,71.66333333333334,63.964999999999996,69.985,61.72666666666667,4.698333333333335
